food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g,SReachcat_x,SReachcat_y
1,Vitamin B-12,Vitamin B-12,G,4.9e-07,4.5e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,3.4e-07,7.8e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,4.7e-07,6.1e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5e-07,5.8e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,5.3e-07,5.5e-07,1.671e-05,1.735345e-05
7,Vitamin B-12,Vitamin B-12,G,2.03e-06,1.13e-06,4.12e-06,3.3899999999999997e-06
7,Vitamin B-12,Vitamin B-12,G,1.3e-06,1.06e-06,4.12e-06,3.3899999999999997e-06
1,Vitamin B-12,Vitamin B-12,G,4.5e-07,5.4e-07,1.671e-05,1.735345e-05
7,Vitamin B-12,Vitamin B-12,G,7.9e-07,1.2e-06,4.12e-06,3.3899999999999997e-06
1,Vitamin B-12,Vitamin B-12,G,8.9e-07,1.02e-06,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.7e-07,0.0,1.671e-05,1.735345e-05
16,Vitamin B-12,Vitamin B-12,G,1.11e-06,3.931e-07,2.22e-06,7.862e-07
14,Vitamin B-12,Vitamin B-12,G,0.0,3.375e-07,0.0,3.375e-07
1,Vitamin B-12,Vitamin B-12,G,4.3e-07,6.617e-07,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,2.2e-07,0.0,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,1.6e-07,0.0,1.671e-05,1.735345e-05
1,Vitamin B-12,Vitamin B-12,G,2.1e-07,6.175e-08,1.671e-05,1.735345e-05
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
16,Vitamin B-12,Vitamin B-12,G,1.11e-06,3.931e-07,2.22e-06,7.862e-07
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
11,"Vitamin A, RAE","Vitamin A, RAE",G,3.1e-05,8e-06,0.0011920000000000001,0.000607
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018,0.003882,0.004036
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03216,0.028408,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03149,0.02948,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.030284,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.07035,0.06097,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.20167,0.20167,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.22177,0.25996,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.15946,0.15477,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.27939,0.42076,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0268,0.0268,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03216,0.028408,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03149,0.02948,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.030284,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03417,0.025728,1.54368,1.5634316
