food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
11,"Vitamin A, RAE","Vitamin A, RAE",G,0.000031,0.000008
1,"Vitamin A, RAE","Vitamin A, RAE",G,0.00016,0.00018
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03216,0.028408
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03149,0.02948
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.030284
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.07035,0.06097
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.20167,0.20167
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.22177,0.25996
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.15946,0.15477
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.27939,0.42076
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0268,0.0268
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03216,0.028408
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03149,0.02948
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.030284
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03417,0.025728
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.05494,0.065928
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0.01072
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01943,0.0010854
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01206,0.0015075
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00469,0.00058156
16,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.018224
14,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.02814,0.024857
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00938,0
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00335,0
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00201,0
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.75241,0.04288
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00067,0.014539
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00134,0.020837
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01072,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0,0.0058156
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01474,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.17353,0.11859
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0134,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0737,0
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01407,0
16,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.018224
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.00006
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.000058
1,Vitamin B-6,Vitamin B-6,G,0.000038,0.000061
1,Vitamin B-6,Vitamin B-6,G,0.000054,0.000056
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.00006
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.000058
1,Vitamin B-6,Vitamin B-6,G,0.000038,0.000061
1,Vitamin B-6,Vitamin B-6,G,0.000036,0.000061
16,Vitamin B-6,Vitamin B-6,G,0.0002,0.000143
12,Vitamin B-6,Vitamin B-6,G,0.000136,0.000075
11,Vitamin B-6,Vitamin B-6,G,0.000271,0.000147
11,Vitamin B-6,Vitamin B-6,G,0.000117,0.000127
11,Vitamin B-6,Vitamin B-6,G,0.000035,0.000034
1,Vitamin B-6,Vitamin B-6,G,0.000081,0.000081
1,Vitamin B-6,Vitamin B-6,G,0.000054,0.000056
9,Vitamin B-6,Vitamin B-6,G,0.00002,0
12,Vitamin B-6,Vitamin B-6,G,0.000804,0.00076
18,Vitamin B-6,Vitamin B-6,G,0.000087,0.000092
2,Vitamin B-6,Vitamin B-6,G,0.00007,0.000069
9,Vitamin B-6,Vitamin B-6,G,0.000063,0.000061
9,Vitamin B-6,Vitamin B-6,G,0.000025,0.000025
1,Vitamin B-6,Vitamin B-6,G,0.000066,0.000069
1,Vitamin B-6,Vitamin B-6,G,0.000057,0.000057
1,Vitamin B-6,Vitamin B-6,G,0.0001,0.00009
1,Vitamin B-6,Vitamin B-6,G,0.000063,0.000064
1,Vitamin B-6,Vitamin B-6,G,0.00005,0.00005
1,Vitamin B-6,Vitamin B-6,G,0.000043,0.000099
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.00006
1,Vitamin B-6,Vitamin B-6,G,0.000037,0.000058
1,Vitamin B-6,Vitamin B-6,G,0.000038,0.000061
